Envelope,Filename,Language,category,include_in_network,PER_list,LOC_list,ORG_list,PER_count,PER_stanza,PER_propagated,LOC_count,ORG_count,total_entities
S194,MITRO3-S194-CARTA-002,Spanish,personal_letter,yes,Profeta Isaire;Echenique;Juan;Pilola,Congonhas do Campo;Aleijadinho,"Prophet Isaire
Brasil",4,4,0,2,1,7
S195,MITRO3-S195-CARTA-003,Spanish,personal_letter,yes,Querido Lucho;Latorre;Arturo Irarrázabal;Marchant;Mattita;Don Luis;Dios;María;Mariti;Vd;Luis,CHILE;Estocolmo;Viena;Viena;Europa,,11,10,1,5,0,16
S196A,MITRO3-S196-CARTA-004,English,institutional_letter,yes,Frau Gräfin;Luis,,"BABURIZZA & Co;National 9104;Baburizza, Stock;S. Ireland;Banker's;Salzburger Kredit- und Wechsel-Bank;Register Marks;BABURIZZA & COMPANY LTD.;JSW/WH",2,0,2,0,9,11
S196B,MITRO3-S196-CARTA-003,English,institutional_letter,yes,Frau Gräfin;Luis,,"BABURIZZA & Co;National 9104;Baburizza, Stock;S. Ireland;Banker's;the Salzburger Kredit- und Wechsel-Bank;Register Marks;the Diskonto-Gesellschaft;Reserve;BABURIZZA & COMPANY LTD.;JSW/WH",2,0,2,0,11,13
S197,MITRO3-S197-CARTA-003,English,personal_letter,yes,John;Luis;May,Keukenhof,,3,0,3,1,0,4
S198,MITRO3-S198-CARTA-003,English,personal_letter,yes,Rolf Altenburger;John;Luis;May,Europe,the British Royal Air Force;KLM;Cessna's;Frasca;American,4,0,4,1,5,10
S199,MITRO3-S199-CARTA-003,English,personal_letter,yes,Angela;John;Luis;May,Europe,Sony Videocamera,4,0,4,1,1,6
S200,MITRO3-S200-CARTA-003,English,personal_letter,yes,Santiago;Angela;John;Luis;May,Europe;Europe,KLM;Christian Society;KLM,5,0,5,2,3,10
S202,MITRO3-S202-CARTA-001,English,personal_letter,yes,Hannes Schneider;Rolf Altenburger;Emile Allais;Santiago;Angela;John;Luis;Pia,Northern Chile;Pan de Azucar;the Pacific Ocean;Pacific;Humbolt;Pan de Azucar;a National Fauna;Flora Preservation Park;Andes;the South Lake District;Lake Villarrica;Lake Rupanco;South;Volcano Villarrica;Rupanco Volcano Osorno;Cerro Punteagudo;Dolomites,Chevrolet,8,0,8,17,1,26
S25A,MITRO3-S25-DOC-009,English,non_epistolary_collected,yes,,,Tourism Projects Department;World Bank;IBRD Loan;Bank;Ministry;Bank;TAC-TUKAN;TAC;Bank;Bank,0,0,0,0,10,10
S25B,MITRO3-S25-DOC-011,English,professional_letter,yes,John;Luis;May,South America,"TAC
THE ARCHITECTS COLLABORATIVE INC.;The Architects Collaborative Inc.;The Architects Collaborative;THE ARCHITECTS COLLABORATIVE Inc.;JCH:MGC
46 Brattle Street",3,0,3,1,5,9
S27,MITRO3-S27-DOC-001,Spanish,personal_letter,yes,Schmutzer;Cia;Eine Ganze Welt Gegen Uns;Bergwelt Wunderwelt;Berge und Heimat;Die Kunst des Ostens;Märten von Boviz;Griz;Anthony Adverse;Franziskus;Josef Fouché;Der Götze;Strebel werk;Der Mythus;Rosenberg;El Hakim;Sobre Ejipto;Die Sieben Säulen;der Weissheit;Nijinsky;Franz Mark;Mi Lucha;Gonzalo Latorre;Pieter Brueghel;Moderne Bauformen;Das Japanische Wohnhaus;Das Englische Haus;Lexikon der;Die Darstellung von Bauzeichnungen im Hochhaus;Lehre vom Neuen Bauen;Das Einfamilienhaus;Mestrovic;Entreténgase;Matuco;Fanica;Ud;Ud.;Matuco;Gonzalo;Fránica,Pekin;Tirol;Japan;Franica;la Pancha;Franica;Fránica;Bamberg;Weltsprachen;Wohnbaufibel;Das Deutsche Wohnhaus;Kunst des Fernen Ostens;Georgia;Alemán;Inglés;Viena,Gestern-Heute-Morgen;Straveller's Library;Sié la Fránica;Alemania;Hitler;Die Neue Linie;Kunst;National Geographic Magazine;Innen Dekoration;Deutsche Kunst;Ud;Georgia,40,38,2,16,12,68
S31,MITRO3-S31-CARTA-003,Spanish,institutional_letter,yes,Sub.Tte. del Regto;Esmeralda;Sgto;Mayor de Ejército;Jefe del Ejército don Manuel Baquedano;Jefe don Manuel Baquedano;Jefe don Patricio Lynch;Agustín Barrientos;Archivero General de Guerra;Santiago;Julio,Estado Mayor de Plaza de Santiago;Cmdte;Cia. de Cab. de los Andes;Sepbre;Sepbre;Batalla de Chorrillos;Lima;Batalla Tacna;Miraflores;Archivo;Santiago 2 Sepbre,"Ministerio de Guerra Nacional
Subsecretaría de Guerra
Expediente N.º 8349
Ejército de Chile
Hoja de Servicios del Sargento Mayor don German Ramon Balbontin V.;Perú;Bolivia;Sr. General de Brigada;Sr. General;Sr. General;General Cáceres;Sepbre",11,9,2,11,8,30
S32,MITRO3-S32-DOC-001,English,non_epistolary_collected,yes,Hannes Schneider,North River;Eastern Slopes Inn;Eastern Slopes Inn;Eastern Slopes Inn;Eastern Slopes Inn;Eastern Slopes Inn;Wildcat Mt.;Eastern Slopes;Wildcat Mt.;Cannon Mountain;Mt. Mansfield,"Chilean Team Committee;National Ski Association of America
For Release;the Chilean Ski Team;the Chilean Team Committee;the National Ski Association of America;National Broadcasting Company;Chilean Team Committee;Union Club;Trumbull College;Yale University;Yale Ski Club;Harvard College;Harvard Ski Team;Attend Advanced Slalom School;Attend Advanced Slalom School;Advanced Slalom School;Advanced Slalom School;Dartmouth College;Dartmouth Outing Club;Dartmouth Carnival;Dartmouth Outing Club;Dartmouth College Carnival;Dartmouth Outing Club;Dartmouth College Carnival;Dartmouth Outing Club;Club;Club;Club;Club",1,0,1,11,29,41
S40,MITRO3-S40-CARTA-001,Spanish,personal_letter,yes,Angela;Lucho;Lima;Etienne;Sr. Clemens Ostendorf;Señora;Etienne;Etienne;Bruno;Etienne;Etienne;Bruno;Etienne;Amelie;Etienne;Mamá;Angela;Angela;Lucho;Etienne;Clemens Ostendorf;Marcos,Lima;Perú;Chile;Perú;Lima;Austria;Hamburgo;Hamburgo;Hotel;Austria;Alemania;Carintia;Klagenfurt;Viena;Alemania;Suecia;America Latina;Austria,VW Variant;La Televisión;Radio;Viet Nam,22,20,2,18,4,44
S41,MITRO3-S41-CARTA-001,Spanish,personal_letter,yes,"Siré
Tuderschitz;Etienne;Etienne;Mamá;Mamá;Mamá;Mamá;Lima;Mamá;Bruno;Julio;Dios;Mamá;Bruno;Bruno;Bruno;Bruno;Mamá;Pintado;Angela;Lucho;Felices Pascuas;Nora;Etienne",lago Wörthersee;Austria;Carinthia;Kärnten;Italia;Yugoslavia;Austria;Peru;Lima-Miraflores;Lima;Hamburgo;Lima;Europa;Chaclacayo;Lima;casa de mi Mamá;Chaclacayo;Peru;Europa;Caracas;Lisboa;Milano;lago Garda;Austria;Carinthia;Klagenfurt;Carinthia;Tuderschitz;Moosburg;Austria;Peru;Austria;Austriaco;Peruanos;Chaclacayo;Perú;Karawanken;Austria;Italia;Trieste;Lima;Europa;Lima;Miraflores;Europa,"MOOSBURG
Austria""Föhrenau;Alitalia First",24,24,0,45,2,71
S43,MITRO3-S43-CARTA-003,German,personal_letter,yes,Rolf Altenburger;Schmidheiny;Marc Rich;Santiago;Bastian;Pia;Tim,Latin America,the Cellulosefabrik Attisholz SA Solothurn;the World Bank;the Cellulose SA;the World Bank;the Cellulosefabrik Attisholz SA;Bundesrat;the State Department for Education;Graphics/Photography;Credit Suisse,7,0,7,1,9,17
S44,MITRO3-S44-CARTA-002,Spanish,personal_letter,yes,"Dear Lucho;Ana María;Dios;Valeria;Fernando;Hugh Stubbins;Ana María;Miglia
Fernando;Julio",Newton;old Victorian;Los Angeles;Florida;Cambridge;Cambridge,,9,8,1,6,0,15
S46A,MITRO3-S46-CARTA-002,German,institutional_letter,yes,Santiago;Luis,,"DEUTSCHER AUSFLUGVEREIN
SEKTION CHILE
des Deutschen und Oesterreichischen Alpenvereins;Club Alemán de Excursionismo;WIEN;Alpine Club",2,0,2,0,4,6
S46B,MITRO3-S46-CARTA-003,German,institutional_letter,yes,Santiago;Luis,,,2,0,2,0,0,2
S47,MITRO3-S47-CARTA-001,German,institutional_letter,yes,Santiago;Luis,,"DEUTSCHER AUSFLUGVEREIN
SEKTION CHILE
des Deutschen und Oesterreichischen Alpenvereins;Club Alemán de Excursionismo;the General Assembly;Santiago
Sektion Chile des Deutschen und Oesterr",2,0,2,0,4,6
S50,MITRO3-S50-CARTA-001,Spanish,personal_letter,yes,Querido Strip;Eleanor;Susan;Consuelo;Angela;Claudio Bravo;Susan;Angela;Consuelo;Angela;Strip;Angela;Angela;Consuelo;Strip Senior;Consuelo;Angela;Angela;Angela;Susan;Susan,Boston;Martinsburg;Venezuela;Boston;Washington DC;Boston,Uds;World Bank;Uds,21,21,0,6,3,30
S53,MITRO3-S53-CARTA-001,Spanish,personal_letter,yes,Lucho;De Amelia;tía Lucía;tía Ita;E°;Ita;tía Ita;tía Ita;Ita;Georginita;Saintclaire;Georginita;Mamá Inés;Herminda;Rosmary;Ximena;Santiago;Amelia,Santiago;Georginita;Ñuñoa;Casablanca;Pirámides;Curacaví,Georginita;Ministerio de Defensa;Chilectra;Georginita;Sylviana,18,16,2,6,5,29
S55,MITRO3-S55-CARTA-003,Spanish,personal_letter,yes,Mario Barriga;Sra;Fránica;Santiago;Mario Pérez de Arce;A. Errázuriz;Lalo;Cucho;Benders,Santiago 6;Sra. Fránica;Alemana;Viña;Santiago;Calculista,Cía;Cerrajería;Benders,9,8,1,6,3,18
S56,MITRO3-S56-CARTA-002,Spanish,personal_letter,yes,"Señor Don;Luis Mitrovic;Gerente Don Santiago Poklepovic;Don Luis;Señora;Doctor;Don Luis;Doctor Moran Sost;Doctor;Dr. de la Oficina;Señora Madre;S.S.S.
Thomas H. Wasley;Santiago;Luis",Oficina Salitrera de Don Luis Mitrovich;Aguas Blancas;Casa de Administración;Antofagasta;Ñuñoa,Ferrocarril;Ud;Ud,14,12,2,5,3,22
S58,MITRO3-S58-CARTA-002,Spanish,personal_letter,yes,Zoppot;Tunes,Varsovia,,2,2,0,1,0,3
S64A,MITRO3-S64-CARTA-002,Spanish,personal_letter,yes,Recordado Chicmüllers;Jorge Hübner Gallo,Varsovia;Chile;Weimar;Varsovia,,2,2,0,4,0,6
S64B,MITRO3-S64-CARTA-002,Spanish,personal_letter,yes,Chick;Escríbame;Jorge Hübner B.,Varsovia;Viena;Chile;Chile;Viena;Alemania,Ud;Ud,3,3,0,6,2,11
S65,MITRO3-S65-CARTA-002,English,personal_letter,yes,,the Virgin Islands,Chalet Wendy,0,0,0,1,1,2
S67,MITRO3-S67-CARTA-003,German,personal_letter,yes,the Queen Mother of Holland;Mr. von Dibitsch;Mrs. Simpson;Dr. Schacht;Edward VIII;Norkauer;Juliane;Erfurt;Bojan,Upper Bavaria;Europe;Europe,National Socialists;Rolleiflex & Co.;Bayern Haus;NS;Reichstag;the Conference of Buenos Aires;the League of Nations;NS,9,0,9,3,8,20
